Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, comments and shares",Reactions,Comments,Shares,Total clicks,Matched audience targeting consumption (Photo Click),Other clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions
100098765440019,100098765432100,LumaCraft Studio,Artisan Home Decor | Now Available,Discover our pastel shirt collection. Designed for everyday style and easy gifting. #NewDrop #CottonLove,0,02/02/2025 18:44,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765440019,0,0,Photos,English,,,,Lifetime,60894,47583,1172,993,110,69,565,224.0,341,,,,,
100098765447938,100098765432100,LumaCraft Studio,Artisan Home Decor | Now Available,Discover our handcrafted cotton kurta set. Designed for everyday style and easy gifting. #NewDrop #EverydayStyle,0,10/10/2025 16:08,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765447938,0,0,Photos,English,,,,Lifetime,6024,4564,248,221,16,11,48,27.0,21,,,,,
100098765455857,100098765432100,LumaCraft Studio,Everyday Cotton Saree | Weekend Pick,Discover our embroidered festive set. Designed for everyday style and easy gifting. #NewDrop #StyleInspiration,39,08/27/2025 16:58,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765455857,0,0,Videos,English,,,,Lifetime,5988,4586,173,152,11,10,58,,58,165268.0,27.6,,,
100098765463776,100098765432100,LumaCraft Studio,Everyday Cotton Saree | Limited Edit,Discover our handwoven stole. Designed for everyday style and easy gifting. #FestiveEdit #CottonLove,30,06/10/2025 15:51,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765463776,0,0,Videos,English,,,,Lifetime,59580,28815,1176,1065,58,53,346,,346,881784.0,14.8,31.29,4.01,7802.0
100098765471695,100098765432100,LumaCraft Studio,Handwoven Stole | Limited Edit,Discover our embroidered festive set. Designed for everyday style and easy gifting. #LumaCraft #StyleInspiration,0,06/08/2025 14:41,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765471695,0,0,Photos,English,,,,Lifetime,4185,3306,106,100,4,2,47,18.0,29,,,,,
100098765479614,100098765432100,LumaCraft Studio,Artisan Home Decor | Weekend Pick,Discover our everyday cotton saree. Designed for everyday style and easy gifting. #CottonLove #Handmade,0,11/10/2025 13:38,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765479614,0,0,Photos,English,,,,Lifetime,9116,8589,293,262,14,17,106,43.0,63,,,,,
100098765487533,100098765432100,LumaCraft Studio,Handwoven Stole | Now Available,Discover our handwoven stole. Designed for everyday style and easy gifting. #NewDrop #NewDrop,0,02/01/2025 11:26,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765487533,0,0,Photos,English,,,,Lifetime,13416,12483,502,452,26,24,162,50.0,112,,,,,
100098765495452,100098765432100,LumaCraft Studio,Handcrafted Cotton Kurta Set | Now Available,Discover our minimalist tote bag. Designed for everyday style and easy gifting. #EverydayStyle #Handmade,0,09/12/2025 15:28,Shared,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765495452,0,0,Photos,English,,,,Lifetime,3733,3356,90,74,6,10,33,22.0,11,,,,,
100098765503371,100098765432100,LumaCraft Studio,Handwoven Stole | Weekend Pick,Discover our minimalist tote bag. Designed for everyday style and easy gifting. #NewDrop #StyleInspiration,0,03/15/2025 12:20,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765503371,0,0,Photos,English,,,,Lifetime,7077,5998,117,86,16,15,82,26.0,56,,,,,
100098765511290,100098765432100,LumaCraft Studio,Handcrafted Cotton Kurta Set | Limited Edit,Discover our minimalist tote bag. Designed for everyday style and easy gifting. #Handmade #Handmade,0,02/04/2025 14:22,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765511290,0,0,Photos,English,,,,Lifetime,6056,5492,217,195,10,12,61,26.0,35,,,,,
100098765519209,100098765432100,LumaCraft Studio,Linen Co-Ord Set | New Arrival,Discover our handwoven stole. Designed for everyday style and easy gifting. #EverydayStyle #CottonLove,30,07/12/2025 14:26,Original,https://www.facebook.com/lumacraft-studio-synthetic/posts/100098765519209,0,0,Videos,English,,,,Lifetime,51941,33155,314,175,72,67,400,,400,825861.0,15.9,65.22,4.31,15133.0
